name,brand,category_id,cpu,gpu,ram,storage,camera,battery,screen,release_year,price,image_url,source_data
Oppo Reno15 Pro,Oppo,1,Mediatek Dimensity 8450 (4 nm),Mali-G720 MC7,12GB,256GB,N/A,N/A,"6.78 inches, 112.4 cm2 (~91.2% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/oppo_reno15_pro_5g-14286.php
Unknown,Oppo,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024,0,,https://www.gsmarena.com/oppo_reno15_5g-14288.php
Oppo Find X9 Pro,Oppo,1,Mediatek Dimensity 9500 (3 nm),Arm G1-Ultra,12GB,256GB,N/A,N/A,"6.78 inches, 112.4 cm2 (~91.1% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/oppo_find_x9_pro-14094.php
Oppo Find X9,Oppo,1,Mediatek Dimensity 9500 (3 nm),Arm G1-Ultra,12GB,256GB,N/A,N/A,"6.59 inches, 105.6 cm2 (~91.0% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/oppo-find-x9.jpg,https://www.gsmarena.com/oppo_find_x9_5g-14235.php
Oppo Pad 5,Oppo,1,Mediatek Dimensity 9400+ (3 nm),Immortalis-G925,8GB,128GB,N/A,N/A,"12.1 inches, 445.2 cm2 (~86.2% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/oppo_pad_5-14236.php
Oppo Watch S,Oppo,1,Qualcomm Snapdragon W5 Gen 1 (4 nm),N/A,N/A,4GB,N/A,N/A,1.46 inches,2025,0,,https://www.gsmarena.com/oppo_watch_s-14237.php
Oppo A6 Pro,Oppo,1,Mediatek Dimensity 6300 (6 nm),Mali-G57 MC2,6GB,128GB,N/A,N/A,"6.57 inches, 105.0 cm2 (~88.5% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/oppo_a6_pro_5g-14171.php
Oppo A6 Pro 4G,Oppo,1,Mediatek Helio G100 (6 nm),Mali-G57 MC2,8GB,128GB,N/A,N/A,"6.57 inches, 105.0 cm2 (~88.5% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6-pro-4g.jpg,https://www.gsmarena.com/oppo_a6_pro-14170.php
Oppo F31 Pro+,Oppo,1,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Adreno 720,8GB,256GB,N/A,N/A,"6.8 inches, 112.8 cm2 (~89.1% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/oppo_f31_pro+_5g-14148.php
Oppo F31 Pro,Oppo,1,Mediatek Dimensity 7300 (4 nm),Mali-G615 MC2,8GB,128GB,N/A,N/A,"6.57 inches, 105.0 cm2 (~88.5% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/oppo_f31_pro_5g-14149.php
